symbol,open,high,low,close,volume
OANDA:XAUUSD,2929.04,2929.2,2927.65,2928.335,1189.0
OANDA:XAUUSD,2928.38,2930.6,2928.24,2928.78,1318.0
OANDA:XAUUSD,2928.795,2929.48,2927.86,2928.445,917.0
OANDA:XAUUSD,2928.505,2929.225,2928.38,2928.605,648.0
OANDA:XAUUSD,2928.6,2929.215,2928.295,2928.985,752.0
OANDA:XAUUSD,2929.01,2930.4,2928.81,2929.86,513.0
OANDA:XAUUSD,2929.855,2929.975,2928.84,2928.965,372.0
OANDA:XAUUSD,2928.99,2930.06,2928.99,2929.2,468.0
OANDA:XAUUSD,2929.265,2929.265,2928.34,2928.955,527.0
OANDA:XAUUSD,2928.93,2929.1,2928.185,2928.885,411.0
OANDA:XAUUSD,2928.89,2929.7,2928.02,2928.82,646.0
OANDA:XAUUSD,2928.785,2929.085,2927.58,2927.785,732.0
OANDA:XAUUSD,2927.78,2928.57,2927.56,2928.43,740.0
OANDA:XAUUSD,2928.435,2928.91,2928.23,2928.54,389.0
OANDA:XAUUSD,2928.515,2928.535,2927.92,2927.98,611.0
OANDA:XAUUSD,2927.94,2928.015,2927.07,2927.2,505.0
OANDA:XAUUSD,2927.265,2928.31,2926.705,2928.215,599.0
OANDA:XAUUSD,2928.22,2928.74,2928.22,2928.68,213.0
OANDA:XAUUSD,2928.645,2929.275,2928.29,2929.185,733.0
OANDA:XAUUSD,2929.19,2929.6,2927.76,2927.88,720.0
OANDA:XAUUSD,2927.87,2929.415,2927.675,2929.335,651.0
OANDA:XAUUSD,2929.405,2930.4,2929.09,2929.665,884.0
OANDA:XAUUSD,2929.645,2929.895,2929.12,2929.545,485.0
OANDA:XAUUSD,2929.56,2930.22,2928.36,2928.66,697.0
OANDA:XAUUSD,2928.65,2929.535,2928.02,2929.155,867.0
OANDA:XAUUSD,2929.205,2929.82,2928.64,2929.18,716.0
OANDA:XAUUSD,2929.1,2929.89,2928.73,2929.475,743.0
